AveragePolicySurr,AverageQ,PolicyRegParamNorm,AverageReturn,AverageAbsY,StdReturn,AverageEsReturn,MinEsReturn,MaxReturn,AverageAction,MaxEsReturn,AverageDiscountedReturn,AverageAbsQ,Epoch,AverageY,MinReturn,AverageAbsQYDiff,QFunRegParamNorm,AverageQLoss,StdEsReturn
0.4683641119,-0.4723075356,11.1656538546,-83.0358160775,0.4723701752,32.0961977539,-88.012882804,-134.882175853,-18.1052431933,0.1484740962,-9.0609753326,-59.9480514726,0.4723075356,92,-0.4723701752,-141.718164828,0.0131855455,15.9703742692,0.0006394531,33.8717458092
0.469143595,-0.4730891538,11.1625691257,-89.130724525,0.4730956494,29.1741727172,-100.416449707,-134.090766189,-25.2839778763,0.2053928625,-10.0141277993,-63.9480738633,0.4730891538,93,-0.4730956494,-145.971639469,0.0132077872,16.0187665179,0.0006882457,34.2810470014
0.4728423473,-0.4766920392,11.14355545,-101.036430016,0.4767187949,23.849881545,-99.6463469211,-146.06515153,-47.1167315585,0.1614546325,-26.6703536709,-69.817766394,0.4766920392,94,-0.4767187949,-138.295242834,0.0128805085,16.0395767492,0.0006200855,33.3520918932
0.4749839526,-0.4790517907,11.1434051527,-101.0242595,0.4790636035,26.6505419063,-118.159068197,-175.933356365,-17.41055168,0.149044906,-56.3280457916,-70.7131824993,0.4790517907,95,-0.4790636035,-155.007651139,0.0127520379,16.093625039,0.0005941357,39.3178805784
0.477207425,-0.4813807345,11.1457739261,-94.8030466812,0.4814121172,29.3025118839,-85.1095144329,-124.865202903,-8.9017069691,0.1258326161,-50.5276122927,-66.1742561221,0.4813807345,96,-0.4814121172,-159.592643399,0.0133826842,16.1377557048,0.0006792112,26.8119120903
0.4778095337,-0.4821597682,11.1652442888,-97.7931198911,0.4821490939,24.1172324179,-94.637911233,-135.500816032,-22.3586539462,0.1398090382,-36.877120536,-68.353883079,0.4821597682,97,-0.4821490939,-162.430449703,0.0129375741,16.1642454671,0.0006420312,27.935743439
0.47951699,-0.4840456949,11.1649921209,-86.9795739815,0.4840677795,26.0565727361,-101.881067137,-161.001855293,-22.2860530427,0.1135373718,-70.9718926054,-61.8471061066,0.4840456949,98,-0.4840677795,-142.092302298,0.0133595148,16.2119740432,0.0007122278,29.2692403478
0.480525202,-0.4851822713,11.1785738663,-85.6459136415,0.4852040387,29.6362425409,-110.056864967,-169.067353002,-11.9057173957,0.1349442271,-52.5254149739,-61.5528585521,0.4851822713,99,-0.4852040387,-139.415690238,0.0134451465,16.2491701145,0.0007349385,27.7561305775
0.4822804973,-0.4868486914,11.1879283221,-90.2088571046,0.4868492696,28.7369160523,-112.940603803,-190.077382156,-11.8470977696,0.1264367754,-39.7320041973,-63.8154167514,0.4868486914,100,-0.4868492696,-136.550089659,0.0129674588,16.2774990862,0.0006458895,42.6115854326
0.4845294816,-0.4890934822,11.2029996552,-87.3296259899,0.4891072378,24.3514500103,-99.2107006993,-153.002855744,-7.0495654794,0.1243328631,-9.8712502738,-62.3146075844,0.4890934822,101,-0.4891072378,-140.314256423,0.0130887078,16.2982331566,0.0006585148,41.7197623731
